charset,UTF-8

0,\0通常
1,\0嘲笑
2,\0思考（視線右）
3,\0驚訝
4,\0思考（驚訝）
5,\0不滿
6,\0認真
7,\0不安（視線下）
8,\0困擾（閉眼）
9,\0微笑（閉眼）
10,\1默認（無）
11,\0挑釁
12,\0生氣
13,\0忍耐
14,\0困惑
15,\0思考２（視線右）
16,\0困擾２（視線右）
17,\0悲傷（視線右）
18,\0講述
19,\0說話
20,\0思考３（閉眼）
21,\0笑
22,\0奸笑
23,\0惡作劇
24,\0恐怖
25,\0嫌悪
26,\0愉快（閉眼）
27,\0大笑（閉眼）
28,\0嘲笑２
29,\0不滿（孩子氣）
//特殊表情
30,\0凶悪（無眨眼動畫）
31,\0游刃有餘（單眼・無眨眼動畫）
32,\0大笑（單眼・無眨眼動畫）
33,\0緊張（單眼・無眨眼動畫）
34,\0激怒（無眨眼動畫）
35,\0推測（生氣・視線右・無眨眼動畫）

//無說話動畫
50,\0通常（無說話動畫）
51,\0嘲笑（無說話動畫）
52,\0思考（視線右・無說話動畫）
53,\0驚訝（無說話動畫）
54,\0思考（驚訝・無說話動畫）
55,\0不滿（無說話動畫）
56,\0認真（無說話動畫）
57,\0不安（視線下・無說話動畫）
58,\0困擾（閉眼・無說話動畫）
59,\0微笑（閉眼・無說話動畫）
60,\0困擾３（閉眼・無說話動畫）
61,\0挑釁（無說話動畫）
62,\0生氣（無說話動畫）
63,\0忍耐（無說話動畫）
64,\0困惑（無說話動畫）
65,\0思考２（視線右・無說話動畫）
66,\0困擾２（視線右・無說話動畫）
67,\0悲傷（視線右・無說話動畫）
68,\0講述（無說話動畫）
69,\0說話（無說話動畫）
70,\0思考３（閉眼・無說話動畫）
71,\0笑（無說話動畫）
72,\0奸笑（無說話動畫）
73,\0惡作劇（無說話動畫）
74,\0恐怖（無說話動畫）
75,\0嫌悪（無說話動畫）
76,\0愉快（閉眼・無說話動畫）
77,\0大笑（閉眼・無說話動畫）
78,\0嘲笑２（無說話動畫）
79,\0不滿（孩子氣・無說話動畫）

100,\0臉紅・通常
101,\0臉紅・嘲笑
102,\0臉紅・思考（視線右）
103,\0臉紅・驚訝
104,\0臉紅・思考（驚訝）
105,\0臉紅・不滿
106,\0臉紅・認真
107,\0臉紅・不安（視線下）
108,\0臉紅・困擾（閉眼）
109,\0臉紅・微笑（閉眼）
110,\0臉紅・困擾２（閉眼）
111,\0臉紅・挑釁
112,\0臉紅・生氣
113,\0臉紅・忍耐
114,\0臉紅・困惑
115,\0臉紅・思考２（視線右）
116,\0臉紅・困擾２（視線右）
117,\0臉紅・悲傷（視線右）
118,\0臉紅・講述
119,\0臉紅・說話
120,\0臉紅・思考３（閉眼）
121,\0臉紅・笑
122,\0臉紅・奸笑
123,\0臉紅・惡作劇
124,\0臉紅・恐怖
125,\0臉紅・嫌悪
126,\0臉紅・愉快（閉眼）
127,\0臉紅・大笑（閉眼）
128,\0臉紅・嘲笑２
129,\0臉紅・不滿（孩子氣）
//特殊表情
130,\0臉紅・凶悪（無眨眼動畫）
131,\0臉紅・游刃有餘（單眼・無眨眼動畫）
132,\0臉紅・大笑（單眼・無眨眼動畫）
133,\0臉紅・緊張（單眼・無眨眼動畫）
134,\0臉紅・激怒（無眨眼動畫）
135,\0臉紅・推測（生氣・視線右・無眨眼動畫）

//無說話動畫
150,\0臉紅・通常（無說話動畫）
151,\0臉紅・嘲笑（無說話動畫）
152,\0臉紅・思考（視線右・無說話動畫）
153,\0臉紅・驚訝（無說話動畫）
154,\0臉紅・思考（驚訝・無說話動畫）
155,\0臉紅・不滿（無說話動畫）
156,\0臉紅・認真（無說話動畫）
157,\0臉紅・不安（視線下・無說話動畫）
158,\0臉紅・困擾（閉眼・無說話動畫）
159,\0臉紅・微笑（閉眼・無說話動畫）
160,\0臉紅・困擾３（閉眼・無說話動畫）
161,\0臉紅・挑釁（無說話動畫）
162,\0臉紅・生氣（無說話動畫）
163,\0臉紅・忍耐（無說話動畫）
164,\0臉紅・困惑（無說話動畫）
165,\0臉紅・思考２（視線右・無說話動畫）
166,\0臉紅・困擾２（視線右・無說話動畫）
167,\0臉紅・悲傷（視線右・無說話動畫）
168,\0臉紅・講述（無說話動畫）
169,\0臉紅・說話（無說話動畫）
170,\0臉紅・思考３（閉眼・無說話動畫）
171,\0臉紅・笑（無說話動畫）
172,\0臉紅・奸笑（無說話動畫）
173,\0臉紅・惡作劇（無說話動畫）
174,\0臉紅・恐怖（無說話動畫）
175,\0臉紅・嫌悪（無說話動畫）
176,\0臉紅・愉快（閉眼・無說話動畫）
177,\0臉紅・大笑（閉眼・無說話動畫）
178,\0臉紅・嘲笑２（無說話動畫）
179,\0臉紅・不滿（孩子氣・無說話動畫）
