charset,UTF-8

0,\0通常
1,\0嘲笑
2,\0思考（視線右）
3,\0驚き
4,\0思考（驚き）
5,\0不満
6,\0真剣
7,\0不安（視線下）
8,\0困る（目閉じ）
9,\0微笑（目閉じ）
10,\1デフォ（なし）
11,\0挑発
12,\0怒る
13,\0忍耐
14,\0困惑
15,\0思考２（視線右）
16,\0困る２（視線右）
17,\0悲み（視線右）
18,\0告白
19,\0語る
20,\0思考３（目閉じ）
21,\0笑み
22,\0企み
23,\0悪戯
24,\0恐怖
25,\0嫌悪
26,\0愉快（目閉じ）
27,\0大笑（目閉じ）
28,\0嘲笑２
29,\0不満（子供っぽい）
//特殊な表情
30,\0凶悪（瞬きなし）
31,\0余裕（ウインク・瞬きなし）
32,\0笑い（ウインク・瞬きなし）
33,\0迫られる（ウインク・瞬きなし）
34,\0激怒（瞬きなし）
35,\0推測（怒る・視線右・瞬きなし）

//口パクなし
50,\0通常（口パクなし）
51,\0嘲笑（口パクなし）
52,\0思考（視線右・口パクなし）
53,\0驚き（口パクなし）
54,\0思考（驚き・口パクなし）
55,\0不満（口パクなし）
56,\0真剣（口パクなし）
57,\0不安（視線下・口パクなし）
58,\0困る（目閉じ・口パクなし）
59,\0微笑（目閉じ・口パクなし）
60,\0困る３（目閉じ・口パクなし）
61,\0挑発（口パクなし）
62,\0怒る（口パクなし）
63,\0忍耐（口パクなし）
64,\0困惑（口パクなし）
65,\0思考２（視線右・口パクなし）
66,\0困る２（視線右・口パクなし）
67,\0悲み（視線右・口パクなし）
68,\0告白（口パクなし）
69,\0語る（口パクなし）
70,\0思考３（目閉じ・口パクなし）
71,\0笑み（口パクなし）
72,\0企み（口パクなし）
73,\0悪戯（口パクなし）
74,\0恐怖（口パクなし）
75,\0嫌悪（口パクなし）
76,\0愉快（目閉じ・口パクなし）
77,\0大笑（目閉じ・口パクなし）
78,\0嘲笑２（口パクなし）
79,\0不満（子供っぽい・口パクなし）

100,\0赤面・通常
101,\0赤面・嘲笑
102,\0赤面・思考（視線右）
103,\0赤面・驚き
104,\0赤面・思考（驚き）
105,\0赤面・不満
106,\0赤面・真剣
107,\0赤面・不安（視線下）
108,\0赤面・困る（目閉じ）
109,\0赤面・微笑（目閉じ）
110,\0赤面・困る２（目閉じ）
111,\0赤面・挑発
112,\0赤面・怒る
113,\0赤面・忍耐
114,\0赤面・困惑
115,\0赤面・思考２（視線右）
116,\0赤面・困る２（視線右）
117,\0赤面・悲み（視線右）
118,\0赤面・告白
119,\0赤面・語る
120,\0赤面・思考３（目閉じ）
121,\0赤面・笑み
122,\0赤面・企み
123,\0赤面・悪戯
124,\0赤面・恐怖
125,\0赤面・嫌悪
126,\0赤面・愉快（目閉じ）
127,\0赤面・大笑（目閉じ）
128,\0赤面・嘲笑２
129,\0赤面・不満（子供っぽい）
//特殊な表情
130,\0赤面・凶悪（瞬きなし）
131,\0赤面・余裕（ウインク・瞬きなし）
132,\0赤面・笑い（ウインク・瞬きなし）
133,\0赤面・迫られる（ウインク・瞬きなし）
134,\0赤面・激怒（瞬きなし）
135,\0赤面・推測（怒る・視線右・瞬きなし）

//口パクなし
150,\0赤面・通常（口パクなし）
151,\0赤面・嘲笑（口パクなし）
152,\0赤面・思考（視線右・口パクなし）
153,\0赤面・驚き（口パクなし）
154,\0赤面・思考（驚き・口パクなし）
155,\0赤面・不満（口パクなし）
156,\0赤面・真剣（口パクなし）
157,\0赤面・不安（視線下・口パクなし）
158,\0赤面・困る（目閉じ・口パクなし）
159,\0赤面・微笑（目閉じ・口パクなし）
160,\0赤面・困る３（目閉じ・口パクなし）
161,\0赤面・挑発（口パクなし）
162,\0赤面・怒る（口パクなし）
163,\0赤面・忍耐（口パクなし）
164,\0赤面・困惑（口パクなし）
165,\0赤面・思考２（視線右・口パクなし）
166,\0赤面・困る２（視線右・口パクなし）
167,\0赤面・悲み（視線右・口パクなし）
168,\0赤面・告白（口パクなし）
169,\0赤面・語る（口パクなし）
170,\0赤面・思考３（目閉じ・口パクなし）
171,\0赤面・笑み（口パクなし）
172,\0赤面・企み（口パクなし）
173,\0赤面・悪戯（口パクなし）
174,\0赤面・恐怖（口パクなし）
175,\0赤面・嫌悪（口パクなし）
176,\0赤面・愉快（目閉じ・口パクなし）
177,\0赤面・大笑（目閉じ・口パクなし）
178,\0赤面・嘲笑２（口パクなし）
179,\0赤面・不満（子供っぽい・口パクなし）
